rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,O=Cc1ccccc1OCc1ccc(-c2ccccc2F)cc1,-8.400,,,
2,CCC(C(=O)OC)(c1ccc(F)cc1)N1C(=O)c2ccccc2C1=O,-7.900,,,
3,Oc1c(-c2ccccc2)cccc1-c1ccccc1,-7.700,,,
4,O=S(=O)(Nc1ccc(F)cc1)c1ccc(COc2ccc(I)cc2)cc1,-7.700,,,
5,O=S(=O)(c1ccc(F)cc1)c1ccc(F)cc1,-7.100,,,
6,O=Cc1ccccc1OCc1ccc(C(F)F)cc1,-7.100,,,
7,OCCOc1ccc(C2(c3ccc(OCCO)cc3)c3ccccc3-c3ccccc32)cc1,-7.100,,,
8,O=C(O)c1cccc(-c2ccccc2OCc2ccccc2)c1,-7.000,,,
9,O=C(c1ccccc1)c1ccc(OCCO)cc1,-7.000,,,
10,COc1ccccc1-c1ccc(CC(=O)O)cc1,-7.000,,,
11,O=S(=O)(NCc1ccccc1)c1ccc(F)cc1,-6.800,,,
12,COCCCOc1ccnc(CS(=O)(=O)c2nc3ccccc3[nH]2)c1C,-6.800,,,
13,O=S(=O)(Nc1ccccc1)c1ccc(F)cc1,-6.800,,,
14,O=Cc1ccccc1OCCc1ccc(F)cc1,-6.800,,,
15,O=Cc1ccccc1OCc1ccc(C2CC2)cc1,-6.800,,,
16,CS(=O)(=O)OCCOc1ccccc1OCC(F)(F)F,-6.700,,,
17,O=S(=O)(CCCOc1ccc(I)cc1)c1ccc(F)cc1,-6.600,,,
18,CCCOc1ccccc1-c1n[nH]c(SCC(=O)O)n1,-6.600,,,
19,OCCOc1ccc2ccccc2c1,-6.600,,,
20,O=[N+]([O-])c1ccccc1OCCOc1ccccc1[N+](=O)[O-],-6.500,,,
