rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,O=C(NC1CCCc2cc(Cl)ccc21)c1ccc2c(c1)CCCO2,-9.000,,,
2,O=C(N[C@H]1CCc2ccccc21)c1ccc2c(c1)CCCO2,-9.000,,,
3,O=C(NC1CCCc2ccccc21)c1ccc2c(c1)OCC2,-8.900,,,
4,Cc1cc(F)cc(-c2ccc(C(=O)NC3CCCCC3)cc2)c1,-8.900,,,
5,O=C(N[C@H]1CCCc2ccccc21)c1ccc2c(c1)CCCC2,-8.700,,,
6,O=C(NC1CCc2cc(Cl)ccc21)c1ccc2c(c1)CCC2,-8.700,,,
7,O=C(N[C@H]1CCCc2ccccc21)c1ccc2c(c1)OCCC2,-8.600,,,
8,O=C(N[C@H]1CCCc2ccccc21)c1ccc2c(c1)CC2,-8.600,,,
9,O=C(N[C@H]1CCc2cc(Cl)ccc21)c1ccc2c(c1)CCCC2,-8.600,,,
10,CN1CCOc2cc(C(=O)NC3CCCc4cc(F)ccc43)ccc21,-8.600,,,
11,O=C(NC1CCCc2cc(Cl)ccc21)c1ccc2c(c1)OCCCO2,-8.500,,,
12,O=C(N[C@H]1CCCc2cc(Br)ccc21)c1ccc2c(c1)CCO2,-8.400,,,
13,O=C(NC1CCCc2ccccc21)c1ccc2c(c1)OCCC2=O,-8.400,,,
14,O=C(N[C@H]1CCCc2ccccc21)c1ccc2c(c1)CCC2,-8.400,,,
15,Nc1cc(-c2ccc(C(=O)NC3CCCC3)c(F)c2)ccc1F,-8.400,,,
16,O=C(NC1CCc2cc(Cl)ccc21)c1ccc2c(c1)CCO2,-8.300,,,
17,O=C(N[C@H]1CCCc2cc(Cl)ccc21)c1ccc2c(c1)OCCO2,-8.300,,,
18,O=C(NC1CCc2ccc(Cl)cc21)c1ccc2c(c1)OCC2,-8.300,,,
19,O=C(N[C@H]1CCc2cc(Cl)ccc21)c1ccc2c(c1)OCCC2=O,-8.300,,,
20,Nc1cc(-c2cc(C(=O)NC3CCCCC3)cc([N+](=O)[O-])c2)ccc1F,-8.300,,,
