rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc4ncccc4cc3C#N)c2)c1,-11.000,,,
2,Cc1cccc(-c2cc(C(=O)Nc3nc4ccccc4cc3C(N)=O)ccc2F)c1,-10.700,,,
3,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc4ccccc4cc3C(N)=O)cc2F)c1,-10.200,,,
4,Cc1cccc(-c2cc(C(=O)Nc3[nH]nc4nccnc34)ccc2F)c1,-10.200,,,
5,Cc1cccc(-c2cc(C(=O)Nc3[nH]nc4cccnc34)ccc2F)c1,-10.200,,,
6,Cc1ccc(F)c(-c2cccc(C(=O)Nc3[nH]nc4ncc(F)cc34)c2)c1,-10.200,,,
7,CC(=O)c1cccc(-c2cc(C(=O)Nc3nc(Cl)ccc3C#N)ccc2F)c1,-10.100,,,
8,Cc1cccc(-c2cc(C(=O)Nc3nccc4cccnc34)ccc2F)c1,-10.100,,,
9,Cc1cccc(-c2cc(C(=O)Nc3[nH]nc4ccccc34)ccc2F)c1,-10.100,,,
10,Cc1cccc(-c2cc(C(=O)Nc3[nH]nc4cnccc34)ccc2F)c1,-10.100,,,
11,Cc1cccc(-c2cc(C(=O)Nc3nc(C)ncc3C#N)ccc2F)c1,-10.100,,,
12,Cc1cccc(-c2cc(C(=O)Nc3[nH]nc4ccncc34)ccc2F)c1,-9.900,,,
13,Cc1cccc(-c2ccc(C(=O)Nc3[nH]nc4ncc(F)cc34)cc2F)c1,-9.900,,,
14,Cc1cccc(-c2cc(C(=O)Nc3cccnc3C#N)ccc2F)c1,-9.800,,,
15,CC(=O)c1cccc(-c2ccc(C(=O)Nc3cccnc3C#N)cc2F)c1,-9.800,,,
16,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc(Cl)ccc3C(N)=O)cc2F)c1,-9.800,,,
17,Cc1cccc(-c2cc(C(=O)Nc3cc(-c4ccccn4)[nH]n3)ccc2F)c1,-9.800,,,
18,Cc1cccc(-c2cc(C(=O)Nc3nc4ncccc4o3)ccc2F)c1,-9.700,,,
19,Cc1cccc(-c2cc(C(=O)Nc3[nH]nc4[nH]ncc34)ccc2F)c1,-9.700,,,
20,Cc1cccc(-c2ccc(C(=O)Nc3[nH]nc4nccnc34)cc2F)c1,-9.700,,,
