rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,NC(=O)c1cccc(NCc2ccc(-c3ccc(F)cc3)cc2)c1,-8.900,,,
2,O=C(c1ccc([N+](=O)[O-])cc1)N1CCCC(c2ccc(F)cc2)C1,-8.700,,,
3,Cc1ccc(CNc2cc(F)c3c(c2)C(=O)CCC3)cc1F,-8.500,,,
4,Cc1ccc(CNc2cc(F)c3c(c2)C(=O)CC3)cc1F,-8.500,,,
5,C#CC1CCN(C(=O)c2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)CC1,-8.400,,,
6,C#CC1CCN(C(=O)c2ccc(C(=O)c3ccc([N+](=O)[O-])cc3)cc2)CC1,-8.300,,,
7,O=C(O)/C=C/c1cccc(OCc2ccccc2)c1,-8.100,,,
8,O=C(c1ccc([N+](=O)[O-])cc1)N1CCC(c2ccccc2F)C1,-8.100,,,
9,O=C(Cc1ccc([N+](=O)[O-])cc1)N1CCN(c2ccccc2)CC1,-8.100,,,
10,O=C(/C=C/c1cccc(OC(F)F)c1)Nc1cc(O)cc(O)c1,-8.000,,,
11,C[C@H](NC(=O)/C=C/c1cccc(OC(F)F)c1)c1ccccn1,-7.900,,,
12,Cc1ccc(CNC(=O)/C=C/c2cccc(OC(F)F)c2)s1,-7.900,,,
13,Cc1cc(C(=O)c2ccc(F)cc2)ccc1F,-7.800,,,
14,CC(=O)c1cccc(NC(=O)c2ccc(F)cc2)c1,-7.800,,,
15,O=C(/C=C/c1cccc(OC(F)F)c1)NCc1ncccn1,-7.700,,,
16,O=C(NCC1CCCOC1)N1CCCC(c2ccccc2)C1,-7.700,,,
17,O=C(NCC1CCCOC1)N1CC[C@H](c2ccccc2)C1,-7.700,,,
18,Cc1ccc(-c2ccc(CC(=O)O)cc2)cc1F,-7.700,,,
19,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,-7.600,,,
20,CN(C(=O)/C=C/c1cccc(OC(F)F)c1)c1cccnc1F,-7.500,,,
