rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,O=C(O)Cc1cccc(-c2cc(F)cc(-c3ccccc3)c2)c1,-9.000,,,
2,O=C(NC(CO)c1cccc(O)c1)c1ccc(C(=O)c2ccccc2)cc1,-8.800,,,
3,CC[C@H](NC(=O)Cc1cc(C)cc(F)c1)c1ccc(C(F)(F)F)cc1,-8.600,,,
4,OC(c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,-8.500,,,
5,O=C(O)Cc1cccc(-c2ccc(OCc3ccccc3)cc2)c1,-8.400,,,
6,O=C(Cc1cccc(-c2cccc(F)c2)c1)NCc1ncccn1,-8.400,,,
7,O=C(O)Cc1cccc(-c2cccc(OCc3ccccc3)c2)c1,-8.300,,,
8,CCC(NC(=O)[C@@H](O)Cc1cccc(F)c1)c1ccc(C(F)(F)F)cc1,-8.200,,,
9,CC(=O)NCCCNC(=O)Cc1cccc(-c2cccc(F)c2)c1,-8.200,,,
10,C[C@H](NC(=O)Cc1cccc(OCc2cccc(F)c2)c1)c1ccccn1,-8.200,,,
11,C[C@H]1CC(=O)CCN1C(=O)Cc1cccc(OCc2cccc(F)c2)c1,-8.100,,,
12,O=C(N[C@H](Cc1ccccc1)c1ccccc1)c1ccccc1,-8.000,,,
13,O=C(Cc1cccc(OCc2cccc(F)c2)c1)N[C@H]1CC[C@@H](O)C1,-8.000,,,
14,O=C(Cc1cccc(OCc2cccc(F)c2)c1)NCc1ncccn1,-7.900,,,
15,Cc1ccc(CNC(=O)Cc2cccc(OCc3cccc(F)c3)c2)s1,-7.900,,,
16,O=C(COc1cccc(F)c1)N[C@H](CO)c1ccc(C(F)(F)F)cc1,-7.800,,,
17,O=C(CCOc1cccc(F)c1)NC(CO)c1ccc(C(F)(F)F)cc1,-7.800,,,
18,O=Cc1cccc(OCc2cccc(C(F)(F)F)c2)c1,-7.800,,,
19,CC(C)CC(NC(=O)c1ccccc1)c1ccccc1,-7.500,,,
20,NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1,-7.500,,,
