rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc4ncccc4cc3C#N)c2)c1,-10.600,,,
2,NC(=O)c1cc2ccccc2nc1NC(=O)c1cccc(-c2cc(F)ccc2F)c1,-10.600,,,
3,Cc1cccc(-c2cc(C(=O)Nc3nccc4cccnc34)ccc2F)c1,-10.300,,,
4,O=C(Nc1nc2c(O)cccc2o1)c1cccc(-c2ccccc2F)c1,-10.200,,,
5,Cc1cccc(-c2nnc(NC(=O)c3cccc(-c4ccccc4F)c3)o2)n1,-10.200,,,
6,O=C(Nc1nc2ncccc2o1)c1cccc(-c2ccccc2F)c1,-10.100,,,
7,O=C(Nc1nc2cnccc2o1)c1cccc(-c2ccccc2F)c1,-10.100,,,
8,Cc1cccc(-c2cc(C(=O)Nc3nccc4ncccc34)ccc2F)c1,-10.100,,,
9,Cc1cccc(-c2cc(C(=O)Nc3nc(Cl)ccc3C#N)ccc2F)c1,-10.000,,,
10,Cc1cccc(-c2cc(C(=O)Nc3[nH]nc4ncccc34)ccc2F)c1,-9.900,,,
11,Cc1ccc(F)c(-c2cccc(C(=O)Nc3ccc(Cl)c(C(N)=O)c3)c2)c1,-9.900,,,
12,Cc1ccc(C)c(-c2cccc(C(=O)Nc3n[nH]cc3C(N)=O)c2)c1,-9.900,,,
13,Cc1ccc(F)c(-c2cccc(C(=O)Nc3scc(C)c3C(N)=O)c2)c1,-9.900,,,
14,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cccnc3C#N)c2)c1,-9.700,,,
15,Cc1cccc(-c2ccc(C(=O)Nc3ncccc3C#N)cc2F)c1,-9.500,,,
16,Cc1ccc(C)c(-c2cccc(C(=O)Nc3sncc3C(N)=O)c2)c1,-9.500,,,
17,Cc1ccc(F)c(-c2cccc(C(=O)Nc3ncncc3C(N)=O)c2)c1,-9.500,,,
18,Cc1cccc(-c2ccc(C(=O)Nc3nccc4cccnc34)cc2F)c1,-9.500,,,
19,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc[nH]c3C(N)=O)c2)c1,-9.500,,,
20,Cc1ccc(F)c(-c2cccc(C(=O)Nc3ccncc3C(N)=O)c2)c1,-9.400,,,
