rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc4ncccc4cc3C#N)c2)c1,-10.900,,,
2,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc4ccccc4cc3C(N)=O)c2)c1,-10.700,,,
3,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc(Cl)ccc3C(N)=O)c2)c1,-10.200,,,
4,CC(=O)c1cccc(-c2ccc(C(=O)Nc3c(C#N)cccc3C#N)cc2F)c1,-10.200,,,
5,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc4ccccc4cc3C(N)=O)cc2F)c1,-10.100,,,
6,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc4ncccc4cc3C#N)cc2F)c1,-10.000,,,
7,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc(C)ccc3C(N)=O)cc2F)c1,-10.000,,,
8,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc(Br)ncc3C#N)c2)c1,-10.000,,,
9,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nccc4cccnc34)c2)c1,-10.000,,,
10,CC(=O)c1cccc(-c2ccc(C(=O)Nc3cccnc3C#N)cc2F)c1,-9.800,,,
11,Cc1cccc(-c2cc(C(=O)Nc3cccnc3C#N)ccc2F)c1,-9.700,,,
12,Cc1ccc(F)c(-c2cccc(C(=O)Nc3ccccc3C(N)=O)c2)c1,-9.700,,,
13,CC(=O)c1cccc(-c2ccc(C(=O)Nc3ncncc3C#N)cc2F)c1,-9.700,,,
14,CC(=O)c1cccc(-c2ccc(C(=O)Nc3n[nH]c4cccc(C#N)c34)cc2F)c1,-9.700,,,
15,Cc1ccc(F)c(-c2cccc(C(=O)Nc3c(Cl)[nH]cnc3=O)c2)c1,-9.600,,,
16,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc4ncccc4o3)c2)c1,-9.600,,,
17,CC(=O)c1cccc(-c2ccc(C(=O)Nc3ncnc4c(C#N)cccc34)cc2F)c1,-9.600,,,
18,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nccnc3C#N)cc2F)c1,-9.500,,,
19,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nccc4ncccc34)cc2F)c1,-9.500,,,
20,O=C(O)[C@@H]1Cc2ccc(O)cc2CN1C(=O)Nc1nc(-c2ccc(F)c(F)c2)cs1,-9.400,,,
