rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-9.100,,,
2,COc1ccc(N(C(=S)NCc2ccc(CN3CCN(C)CC3)cc2)c2ccc(C)cc2)cc1,-8.900,,,
3,COc1ccc(N(C(=S)NCc2ccc(CN3CCN(C)CC3)cc2)c2cc(C(=O)O)ccn2)cc1,-8.600,,,
4,O=C(NC(CO)CO)N(c1ccc(-c2ccccc2)cc1)c1cccc2ccccc12,-8.200,,,
5,COc1ccc(N(C(=S)NCc2ccc(CN3CCN(C)CC3)cc2)c2cccnc2)cc1,-8.100,,,
6,COc1ccc(N(C(=S)NCc2ccc(CN3CCN(C)CC3)cc2)c2ccncc2)cc1,-8.100,,,
7,CC(Oc1cccc2ccccc12)C(=O)N[C@@H](C)c1ccccn1,-8.100,,,
8,C#CC1CCN(C(=O)C(C)Oc2cccc3ccccc23)CC1,-8.000,,,
9,COc1ccc(N(C(=S)NCc2ccc(CN3CCN(C)CC3)cc2)c2cnccn2)cc1,-7.900,,,
10,CC[C@@H](CO)NC(=O)N(c1ccc(C)cc1)c1cccc2ccccc12,-7.800,,,
11,CC(Oc1cccc2ccccc12)C(=O)NCc1ncccn1,-7.800,,,
12,COc1ccc(CC(=O)NCc2ccc(Oc3ccc(Cl)cc3)cc2)cc1,-7.700,,,
13,Cc1ccc(N)cc1C(=O)N[C@H](C)c1cccc2ccccc12,-7.700,,,
14,COc1ccc(CNC(=O)c2cccnc2C(=O)NCc2ccc(OC)cc2)cc1,-7.600,,,
15,C[C@H](NC(=S)NCc1ccc(CN2CCN(C)CC2)cc1)c1ccccn1,-7.500,,,
16,COc1ccc(CNC(=O)c2cc(Br)ccc2Cl)cc1,-7.500,,,
17,COc1ccc2c(c1)CCN(Cc1ccccc1)C2,-7.500,,,
18,CC(Oc1cccc2ccccc12)C(=O)NCc1sccc1Cl,-7.500,,,
19,CCN(Cc1ccc(O)cc1)C(=O)C(C)Oc1cccc2ccccc12,-7.400,,,
20,COc1ccc(N(C)C(=S)NCc2ccc(CN3CCN(C)CC3)cc2)c([N+](=O)[O-])c1,-7.300,,,
