rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,CC(=O)c1cccc(-c2cc(C(=O)Nc3nc4ncccc4cc3C#N)ccc2F)c1,-10.800,,,
2,NC(=O)c1cc2ccccc2nc1NC(=O)c1cccc(-c2cccc(F)c2)c1,-10.500,,,
3,Cc1cccc(-c2nnc(NC(=O)c3cccc(-c4ccccc4F)c3)o2)n1,-10.300,,,
4,Cc1cccc(-c2cc(C(=O)Nc3nccc4cccnc34)ccc2F)c1,-10.300,,,
5,O=C(Nc1nc2c(O)cccc2o1)c1cccc(-c2ccccc2F)c1,-10.200,,,
6,O=C(Nc1nc2cnccc2o1)c1cccc(-c2ccccc2F)c1,-10.100,,,
7,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc(C)cc(C)c3C(N)=O)cc2F)c1,-10.100,,,
8,Cc1cccc(-c2cc(C(=O)Nc3nc(Cl)ccc3C#N)ccc2F)c1,-10.000,,,
9,O=C(Nc1nc2ncccc2o1)c1cccc(-c2ccccc2F)c1,-10.000,,,
10,Cc1cccc(-c2cc(C(=O)Nc3[nH]nc4ncccc34)ccc2F)c1,-10.000,,,
11,Cc1ccc(-c2ccc(C(=O)Nc3nc4ccccc4cc3C(N)=O)cc2F)cc1,-10.000,,,
12,CC(=O)c1cccc(-c2ccc(C(=O)Nc3cc(C)ccc3C(N)=O)cc2F)c1,-10.000,,,
13,Cc1cccc(-c2cc(C(=O)Nc3cccnc3C#N)ccc2F)c1,-9.800,,,
14,Cc1ccc(F)c(-c2cccc(C(=O)Nc3c(Cl)[nH]cnc3=O)c2)c1,-9.700,,,
15,CC(=O)c1cccc(-c2ccc(C(=O)Nc3sncc3C(N)=O)cc2F)c1,-9.700,,,
16,CC(=O)c1cccc(-c2ccc(C(=O)Nc3ncncc3C(N)=O)cc2F)c1,-9.700,,,
17,CC(=O)c1cccc(-c2ccc(C(=O)Nc3cnccc3C(N)=O)cc2F)c1,-9.700,,,
18,CC(=O)c1cccc(-c2ccc(C(=O)Nc3c(Cl)[nH]cnc3=O)cc2F)c1,-9.600,,,
19,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nccnc3C(N)=O)cc2F)c1,-9.600,,,
20,CC(=O)c1cccc(-c2ccc(C(=O)Nc3ccncc3C(N)=O)cc2F)c1,-9.600,,,
