rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc4ncccc4cc3C#N)c2)c1,-10.900,,,
2,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc4ccccc4cc3C(N)=O)c2)c1,-10.600,,,
3,Cc1cccc(-c2cc(C(=O)Nc3noc4nc(C)ccc34)ccc2F)c1,-10.200,,,
4,Cc1ccc(C(N)=O)c(NC(=O)c2ccc(-c3cccc(C(F)(F)F)c3)c(C)c2)n1,-10.200,,,
5,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc(Cl)ccc3C#N)c2)c1,-10.100,,,
6,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc4ccccc4cc3C(N)=O)cc2F)c1,-10.000,,,
7,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc4ncccc4cc3C#N)cc2F)c1,-9.900,,,
8,Cc1cccc(-c2ccc(C(=O)Nc3ccccc3C(N)=O)cc2F)c1,-9.900,,,
9,Cc1cccc(-c2ccc(C(=O)Nc3cnccc3C(N)=O)cc2F)c1,-9.700,,,
10,Cc1ccc(F)c(-c2cccc(C(=O)Nc3ccccc3C(N)=O)c2)c1,-9.600,,,
11,CSc1ncc(C(N)=O)c(NC(=O)c2ccc(-c3cccc(C)c3)c(C)c2)n1,-9.600,,,
12,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cccnc3C#N)c2)c1,-9.500,,,
13,Cc1ccc(F)c(-c2cccc(C(=O)Nc3c(Cl)[nH]cnc3=O)c2)c1,-9.500,,,
14,Cc1ccc(F)c(-c2cccc(C(=O)Nc3sncc3C(N)=O)c2)c1,-9.400,,,
15,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cnc(Cl)nc3C)c2)c1,-9.200,,,
16,Cc1cccc(-c2ccc(C(=O)Nc3cnc(Cl)nc3C)cc2F)c1,-9.100,,,
17,Cc1cccc(-c2cc(C(=O)Nc3nc(C)ncc3F)ccc2F)c1,-9.100,,,
18,CC(=O)c1cnc(NC(=O)c2ccc(F)c(-c3cccc(C#N)c3)c2)s1,-9.000,,,
19,Cc1cc(-c2noc(CCC(=O)Nc3cc(Br)ccc3F)n2)ccc1F,-8.900,,,
20,Cc1ccc(F)c(-c2cccc(C(=O)NCc3ncccn3)c2)c1,-8.700,,,
