rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,N#Cc1cc2cccnc2nc1NC(=O)c1cccc(-c2cc(F)ccc2F)c1,-10.600,,,
2,O=C(Nc1nc2ccccc2o1)c1cccc(-c2ccccc2F)c1,-10.200,,,
3,O=C(Nc1nc2cccnc2o1)c1cccc(-c2ccccc2F)c1,-10.200,,,
4,O=C(Nc1nc2ncccc2o1)c1cccc(-c2ccccc2F)c1,-10.100,,,
5,O=C(Nc1nc2cnccc2o1)c1cccc(-c2ccccc2F)c1,-10.100,,,
6,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,-10.100,,,
7,O=C(Nc1nnc(-c2ccccn2)o1)c1cccc(-c2ccccc2F)c1,-10.000,,,
8,Cc1cc(C)c(C#N)c(NC(=O)c2cccc(-c3ccccc3O)c2)n1,-9.800,,,
9,COc1ccc(-c2nnc(NC(=O)c3cccc(-c4ccccc4F)c3)o2)cc1,-9.700,,,
10,O=C(Nc1ccc2cccc(O)c2n1)c1cccc(-c2ccccc2F)c1,-9.600,,,
11,O=C(Nc1nccc2cccnc12)c1cccc(-c2ccccc2F)c1,-9.600,,,
12,N#Cc1cccc(C(=O)Nc2cc(-c3ccccc3)nn2-c2ccccc2)c1,-9.500,,,
13,C#CC1CCN(C(=O)c2ccc(C)c(C#Cc3cnc4cccnn34)c2)CC1,-9.500,,,
14,Cc1ccc(C(=O)Nc2cccc(CN3CCN(C)CC3)c2)cc1C#Cc1cnc2cccnn12,-9.400,,,
15,COc1ccc2c(NC(=O)c3cccc(-c4ccccc4F)c3)noc2c1,-9.400,,,
16,Cc1ccc(C(=O)Nc2ccc(C(=O)N3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,-9.300,,,
17,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)cc2)cc1C#Cc1cnc2cccnn12,-9.300,,,
18,CN1CCN(C(=O)c2ccc(NC(=O)c3cnc4cccnn34)cc2C(F)(F)F)CC1,-9.300,,,
19,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-9.300,,,
20,O=C(Nc1cccc(F)c1)c1cccc(-c2ccccc2F)c1,-9.200,,,
