rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc4ncccc4cc3C#N)c2)c1,-10.900,,,
2,O=C(Nc1nc2c(O)cccc2o1)c1cccc(-c2ccccc2F)c1,-10.400,,,
3,Cc1cccc(-c2nnc(NC(=O)c3cccc(-c4ccccc4F)c3)o2)n1,-10.400,,,
4,NC(=O)c1cc2ccccc2nc1NC(=O)c1cccc(-c2cc(F)ccc2F)c1,-10.300,,,
5,CC(=O)c1cccc(-c2cc(C(=O)Nc3nccc4cccnc34)ccc2F)c1,-10.200,,,
6,O=C(Nc1nc2ncccc2o1)c1cccc(-c2ccccc2F)c1,-10.100,,,
7,O=C(Nc1nc2cnccc2o1)c1cccc(-c2ccccc2F)c1,-10.100,,,
8,O=C(Nc1nnc(-c2ccncc2)o1)c1cccc(-c2ccccc2F)c1,-10.000,,,
9,CC(=O)c1cccc(-c2cc(C(=O)Nc3ncc(Cl)cc3C#N)ccc2F)c1,-10.000,,,
10,O=C(Nc1nc2cccnc2o1)c1cccc(-c2ccccc2F)c1,-9.900,,,
11,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,-9.800,,,
12,O=C(Nc1nnc(-c2cccnc2)o1)c1cccc(-c2ccccc2F)c1,-9.800,,,
13,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc4ncccc4cc3C#N)cc2F)c1,-9.800,,,
14,CC(=O)c1cccc(-c2ccc(C(=O)Nc3ncccc3C#N)cc2F)c1,-9.800,,,
15,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc(Br)ncc3C#N)cc2F)c1,-9.800,,,
16,O=C(Nc1nccc2ncccc12)c1cccc(-c2cc(F)ccc2F)c1,-9.700,,,
17,CC(=O)c1cccc(-c2cc(C(=O)Nc3nc(C)ncc3C#N)ccc2F)c1,-9.700,,,
18,C#Cc1ccccc1NC(=O)c1ccc(F)c(-c2cccc(C#N)c2)c1,-9.700,,,
19,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,-9.600,,,
20,O=C(Nc1noc2cccnc12)c1cccc(-c2cc(F)ccc2F)c1,-9.400,,,
