rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1cccc(-c2cc(C(=O)Nc3nc4ncccc4cc3C#N)ccc2F)c1,-10.900,,,
2,NC(=O)c1cc2ccccc2nc1NC(=O)c1cccc(-c2cc(F)ccc2F)c1,-10.500,,,
3,O=C(Nc1nc2c(O)cccc2o1)c1cccc(-c2ccccc2F)c1,-10.400,,,
4,Cc1cccc(-c2cc(C(=O)Nc3nccc4cccnc34)ccc2F)c1,-10.300,,,
5,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc(Cl)ccc3C#N)c2)c1,-10.200,,,
6,O=C(Nc1nc2ncccc2o1)c1cccc(-c2ccccc2F)c1,-10.100,,,
7,O=C(Nc1nc2cnccc2o1)c1cccc(-c2ccccc2F)c1,-10.000,,,
8,Cc1cccc(-c2cc(C(=O)Nc3[nH]nc4ncccc34)ccc2F)c1,-10.000,,,
9,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cc(Cl)ccc3C(N)=O)c2)c1,-10.000,,,
10,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nn(C)cc3C(N)=O)c2)c1,-9.800,,,
11,CSc1ncc(C(N)=O)c(NC(=O)c2cccc(-c3cc(C)ccc3F)c2)n1,-9.700,,,
12,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cccnc3C#N)c2)c1,-9.600,,,
13,Cc1ccc(F)c(-c2cccc(C(=O)Nc3sc(C)cc3C(N)=O)c2)c1,-9.600,,,
14,Cc1ccc(F)c(-c2cccc(C(=O)Nc3c(Cl)[nH]cnc3=O)c2)c1,-9.400,,,
15,Cc1ccc(F)c(-c2cccc(C(=O)Nc3sncc3C(N)=O)c2)c1,-9.400,,,
16,Cc1ccc(-c2cc(F)cc(-c3cccc(C(=O)O)n3)c2)cc1F,-9.400,,,
17,Cc1ccc(O)c(NC(=O)c2cccc(-c3ccc(C)c(F)c3)n2)n1,-9.400,,,
18,Cc1ccc(F)c(-c2cccc(C(=O)Nc3ccncc3C(N)=O)c2)c1,-9.400,,,
19,Cc1cccc(-c2ccc(C(=O)Nc3ccc4cccnc4n3)cc2F)c1,-9.300,,,
20,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cnc(C(N)=O)cn3)c2)c1,-9.300,,,
