rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1cccc(-c2cc(C(=O)Nc3nc4ncccc4cc3C#N)ccc2F)c1,-10.900,,,
2,NC(=O)c1cc2ccccc2nc1NC(=O)c1cccc(-c2cc(F)ccc2F)c1,-10.600,,,
3,O=C(Nc1nc2c(O)cccc2o1)c1cccc(-c2ccccc2F)c1,-10.400,,,
4,Cc1cccc(-c2nnc(NC(=O)c3cccc(-c4ccccc4F)c3)o2)n1,-10.300,,,
5,O=C(Nc1nc2ncccc2o1)c1cccc(-c2ccccc2F)c1,-10.200,,,
6,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc(C)ccc3C(N)=O)c2)c1,-10.200,,,
7,O=C(Nc1nc2cnccc2o1)c1cccc(-c2ccccc2F)c1,-10.100,,,
8,Cc1cccc(-c2cc(C(=O)Nc3nccc4cccnc34)ccc2F)c1,-10.100,,,
9,Cc1ccc(F)c(-c2cccc(C(=O)Nc3ccc(Cl)c(C(N)=O)c3)c2)c1,-10.000,,,
10,Cc1cccc(-c2cc(C(=O)Nc3nc(Br)ncc3C#N)ccc2F)c1,-10.000,,,
11,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc4ccccc4cc3C(N)=O)cc2F)c1,-9.900,,,
12,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cccnc3C#N)c2)c1,-9.700,,,
13,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nn(C)cc3C(N)=O)c2)c1,-9.700,,,
14,Cc1ccc(F)c(-c2cccc(C(=O)Nc3c(Cl)[nH]cnc3=O)c2)c1,-9.500,,,
15,Cc1cccc(-c2ccc(C(=O)Nc3ncccc3C#N)cc2F)c1,-9.500,,,
16,Cc1ccc(C)c(-c2cccc(C(=O)Nc3sncc3C(N)=O)c2)c1,-9.500,,,
17,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cnc(C(N)=O)cn3)c2)c1,-9.500,,,
18,Cc1ccc(F)c(-c2cccc(C(=O)Nc3sccc3C(N)=O)c2)c1,-9.400,,,
19,Cc1ccc(F)c(-c2cccc(C(=O)Nc3c(C(N)=O)cnn3C)c2)c1,-9.400,,,
20,Cc1cccc(-c2ccc(C(=O)Nc3nc(Br)ncc3C#N)cc2F)c1,-9.400,,,
