rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1ccc(F)c(-c2cccc(C(=O)Nc3nc4ccccc4cc3C(N)=O)c2)c1,-10.900,,,
2,Cc1cccc(-c2cc(C(=O)Nc3nc4ncccc4cc3C#N)ccc2F)c1,-10.600,,,
3,Cc1cccc(-c2cc(C(=O)Nc3nc(Cl)ccc3C#N)ccc2F)c1,-10.100,,,
4,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc4ccccc4cc3C(N)=O)cc2F)c1,-10.100,,,
5,Cc1cccc(-c2ccc(C(=O)Nc3cc(Br)ccc3C(N)=O)cc2F)c1,-10.100,,,
6,Cc1ccc(C(N)=O)c(NC(=O)c2ccc(-c3cccc(C(F)(F)F)c3)c(F)c2)n1,-10.000,,,
7,Cc1cccc(-c2cc(C(=O)Nc3ccccc3C(N)=O)ccc2F)c1,-9.700,,,
8,Cc1cccc(-c2ccc(C(=O)Nc3cnccc3C(N)=O)cc2F)c1,-9.700,,,
9,Cc1cccc(-c2cc(C(=O)Nc3cccnc3C#N)ccc2F)c1,-9.600,,,
10,CC(=O)c1cccc(-c2ccc(C(=O)Nc3nc4ncccc4cc3C#N)cc2F)c1,-9.600,,,
11,Cc1cccc(-c2ccc(C(=O)Nc3nn(C)c4nc(C)ccc34)cc2C)c1,-9.600,,,
12,Cc1ccc(F)c(-c2cccc(C(=O)Nc3cnc(Cl)nc3C)c2)c1,-9.300,,,
13,Cc1ccc(F)c(-c2cccc(C(=O)Nc3c(Cl)[nH]cnc3=O)c2)c1,-9.300,,,
14,Cc1cccc(-c2ccc(C(=O)Nc3nc(C)cnc3C)cc2C)c1,-9.300,,,
15,Cc1ccc(F)c(-c2cccc(C(=O)Nc3sncc3C(N)=O)c2)c1,-9.200,,,
16,CC(=O)c1cnc(NC(=O)c2ccc(F)c(-c3cccc(C#N)c3)c2)s1,-9.100,,,
17,Cc1cccc(-c2ccc(C(=O)Nc3cnc(Cl)nc3C)cc2F)c1,-9.100,,,
18,O=C(NC(c1ccccc1)C1CCCCC1)c1ccc2nccnc2c1,-9.100,,,
19,Cc1cccc(-c2ccc(C(=O)Nc3ccccc3C(=O)N3CCOCC3)cc2F)c1,-9.100,,,
20,Cn1cnc2ccc(C(=O)N[C@@H](c3ccccc3)C3CCC3)cc21,-8.900,,,
