rank,dock_score_5jq7,smiles,novel,acid,amine,combo_reward
49,-7.50,O=C(NCc1ncccn1)C1CCN(Cc2ccccc2)C1,True,O=C(O)C1CCN(Cc2ccccc2)C1,NCc1ncccn1,15.2
50,-7.40,NC(=O)Cc1ccc(NC(=O)C2CCN(Cc3ccccc3)C2)cc1,True,O=C(O)C1CCN(Cc2ccccc2)C1,NC(=O)Cc1ccc(N)cc1,15.7
51,-7.30,CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1cccc(C(=O)c2ccccc2)c1,True,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2,15.2
52,-7.20,CNC(=O)c1cccc(C(=O)c2ccccc2)c1,True,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CN,16.91
53,-7.10,CCc1cnc(NC(=O)C2CCCN(Cc3ccccc3)C2)s1,True,O=C(O)C1CCCN(Cc2ccccc2)C1,CCc1cnc(N)s1,15.65
54,-7.10,Cc1cnc(NC(=O)C2CCN(Cc3ccccc3)C2)s1,True,O=C(O)C1CCN(Cc2ccccc2)C1,Cc1cnc(N)s1,15.6
55,-7.10,CCc1cnc(NC(=O)C2CCN(Cc3ccccc3)C2)s1,True,O=C(O)C1CCN(Cc2ccccc2)C1,CCc1cnc(N)s1,15.4
56,-7.10,COC(=O)c1cnc(NC(=O)C2CCN(Cc3ccccc3)C2)s1,True,O=C(O)C1CCN(Cc2ccccc2)C1,COC(=O)c1cnc(N)s1,15.2
57,-7.00,O=Cc1cnc(NC(=O)C2CCN(Cc3ccccc3)C2)s1,True,O=C(O)C1CCN(Cc2ccccc2)C1,Nc1ncc(C=O)s1,15.3
58,-6.90,Cc1cnc(NC(=O)C2CCCN(Cc3ccccc3)C2)s1,True,O=C(O)C1CCCN(Cc2ccccc2)C1,Cc1cnc(N)s1,15.85
59,-6.90,COC1CC2CCC(C1)N2C(=O)C1CCCN(Cc2ccccc2)C1,False,O=C(O)C1CCCN(Cc2ccccc2)C1,COC1CC2CCC(C1)N2,14.65
60,-6.90,COC1CC2CCC(C1)N2C(=O)C1CCN(Cc2ccccc2)C1,False,O=C(O)C1CCN(Cc2ccccc2)C1,COC1CC2CCC(C1)N2,14.4
61,-6.50,CNC(=O)C1CCN(Cc2ccccc2)C1,True,O=C(O)C1CCN(Cc2ccccc2)C1,CN,15.64
62,-6.50,O=C(NCc1ncccn1)C1CCCN(Cc2ccccc2)C1,True,O=C(O)C1CCCN(Cc2ccccc2)C1,NCc1ncccn1,15.45
63,-6.40,CNC(=O)C1CCCN(Cc2ccccc2)C1,True,O=C(O)C1CCCN(Cc2ccccc2)C1,CN,15.89
64,-5.80,CCc1ccc(NC(=O)CO)cc1,True,O=C(O)CO,CCc1ccc(N)cc1,16.7
