rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,O=C(Nc1nc2c(O)cccc2o1)c1cccc(-c2ccccc2F)c1,-10.300,,,
2,O=C(Nc1nc2cnccc2o1)c1cccc(-c2ccccc2F)c1,-10.100,,,
3,O=C(Nc1nc2ncccc2o1)c1cccc(-c2ccccc2F)c1,-10.000,,,
4,Cc1cc(C)c(C#N)c(NC(=O)c2cccc(-c3ccccc3O)c2)n1,-9.900,,,
5,O=C(Nc1ccc2ccc(Cl)nc2n1)c1cccc(-c2ccccc2O)c1,-9.700,,,
6,O=C(Nc1ccc2ccccc2n1)c1cccc(-c2cccc(O)c2)c1,-9.600,,,
7,O=C(Nc1ccc(O)c2ncccc12)c1cccc(-c2ccccc2F)c1,-9.600,,,
8,O=C(Nc1cccc2cccnc12)c1cccc(-c2ccccc2O)c1,-9.500,,,
9,Cc1cccc(NC(=O)c2cccc(-c3ccccc3O)c2)c1C#N,-9.400,,,
10,Cc1ccccc1-c1cccc(C(=O)Nc2ncnc(Cl)c2C#N)c1,-9.400,,,
11,Cc1ccc2c(NC(=O)c3cccc(-c4ccccc4O)c3)[nH]nc2n1,-9.300,,,
12,Cc1ccnc(F)c1NC(=O)c1cccc(-c2ccccc2F)c1,-9.200,,,
13,CC(=O)c1cnc(NC(=O)c2cccc(-c3ccccc3F)c2)s1,-9.100,,,
14,Cc1nc2ccccc2nc1NC(=O)c1cccc(-c2ccccc2O)c1,-9.100,,,
15,CCOc1cc(NC(=O)c2cccc(-c3ccccc3O)c2)cc(C)n1,-9.000,,,
16,Cc1ccccc1-c1cccc(C(=O)Nc2sncc2C(N)=O)c1,-8.900,,,
17,C[C@H](NC(=O)c1cccc(-c2ccccc2F)c1)c1ccccn1,-8.900,,,
18,Cc1cnc(C)c(NC(=O)c2cccc(-c3ccccc3C)c2)n1,-8.900,,,
19,Cc1ccc(F)cc1-c1cccc(C(=O)NCc2ccccc2)c1,-8.800,,,
20,O=C(Nc1ccc(Cl)nn1)c1cccc(-c2ccccc2O)c1,-8.700,,,
