rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,O=C(c1cc2ccccc2n1Cc1ccccc1)N1CCN(C2CCCCC2)CC1,-8.900,,,
2,O=C(c1cc2ccccc2n1Cc1ccccc1)N1CCC(C(F)F)CC1,-8.700,,,
3,O=C(c1cc2ccccc2n1Cc1ccccc1)N1CCC(N2CCCC2)CC1,-8.600,,,
4,CC(=O)N1CC(N2CCN(C(=O)c3cc4ccccc4n3Cc3ccccc3)CC2)C1,-8.500,,,
5,O=C(c1cc2ccccc2n1Cc1ccccc1)N1CCN(C2CCCC2)CC1,-8.400,,,
6,CC(=O)c1cc2c(OCc3ccccc3)cccc2n1S(=O)(=O)c1ccccc1,-8.400,,,
7,O=C(c1cc2ccccc2n1Cc1ccccc1)N1CCN(C2CCOCC2)CC1,-8.300,,,
8,N#C[C@@H]1CCN(C(=O)c2cc3ccccc3n2Cc2ccccc2)C1,-8.300,,,
9,O=C(c1cc2ccccc2n1Cc1ccccc1)N1CCN(C2CC2)CC1,-8.100,,,
10,O=C(c1cc2ccccc2n1Cc1ccccc1)N1CCN(C2CCC2)CC1,-8.000,,,
11,O=C(c1cc2ccccc2n1Cc1ccccc1)N1CCN(C2COC2)CC1,-8.000,,,
12,COC(=O)[C@H]1CN(Cc2ccccc2)C[C@@H]1c1cccc(F)c1,-7.700,,,
13,Cc1nc2cc(C(=O)O)ccc2n1Cc1ccccc1,-7.400,,,
14,O=C(O)c1cn(Cc2ccccc2)c2ccccc12,-7.400,,,
15,CCOC(=O)[C@H]1CN(Cc2ccccc2)C[C@@H]1C(=O)OCc1ccccc1,-7.400,,,
16,Nc1ccc(C(=O)N2CCN(C3CCCCC3)CC2)cc1,-7.400,,,
17,COc1cc(-c2ccc(F)c(C=O)c2)ccc1C=O,-7.400,,,
18,CN1CCC(N2CCN(C(=O)c3cc4ccccc4n3Cc3ccccc3)CC2)CC1,-7.300,,,
19,C#CC1CCN(C(=O)COc2ccc(C=O)c(OC)c2)CC1,-7.200,,,
20,CCOC(=O)C1CN(Cc2ccccc2)CCN1Cc1ccccc1,-7.000,,,
