rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,COc1cc(F)c(C#N)c(NC(=S)Nc2ccc(Cc3ccccn3)cc2)c1,-9.500,,,
2,CCC1CCCCN1Cc1ccc(Nc2ccc3nc[nH]c(=O)c3c2)cc1,-8.900,,,
3,COc1ccc(NC(=O)c2ccc(C#N)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,-8.600,,,
4,CCC1CCc2c(sc(NC(=S)Nc3cc(OC)cc(F)c3C#N)c2C#N)C1,-8.400,,,
5,COc1cc(F)c(C#N)c(NC(=S)Nc2ccc(-c3ccncc3)cc2)c1,-8.400,,,
6,COc1cc(F)c(C#N)c(NC(=S)Nc2ccc(Cc3ccncc3)cc2)c1,-8.400,,,
7,COc1cc(F)c(C#N)c(NC(=S)Nc2ccc(-c3ncco3)cc2)c1,-8.400,,,
8,COc1ccc(-c2ccc(NC(=O)C3CCCCC3C(=O)O)cc2)cc1,-8.300,,,
9,COc1cc(F)c(C#N)c(NC(=S)Nc2ccc(-c3ccccn3)cc2)c1,-8.300,,,
10,COc1cc(F)c(C#N)c(NC(=S)Nc2ccc(Cn3ccnc3)cc2)c1,-8.300,,,
11,COc1cc(F)c(C#N)c(NC(=S)Nc2ccc(-c3nnc(-c4ccco4)o3)cc2)c1,-8.300,,,
12,Cc1ccnc(NS(=O)(=O)c2ccc(NC(=O)C3CC=CCC3C(=O)O)cc2)n1,-8.200,,,
13,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2,-8.100,,,
14,COc1cc(OC)cc(C(=O)Nc2ccc(C)cc2Nc2cc(O)cc(O)c2)c1,-8.100,,,
15,COc1cc(F)c(C#N)c(NC(=S)Nc2ccc(Cn3cccn3)cc2)c1,-8.100,,,
16,COc1cc(F)c(C#N)c(NC(=S)Nc2sc3c(c2C#N)CCCCC3)c1,-8.000,,,
17,COc1cc(F)c(C#N)c(NC(=S)Nc2cc(O)cc(C(=O)O)c2)c1,-8.000,,,
18,COc1cc(F)c(C#N)c(NC(=S)Nc2ccc(-c3ccc(O)cc3)cc2)c1,-8.000,,,
19,COc1cc(F)c(C#N)c(NC(=S)Nc2cccc(-c3ccncc3)c2)c1,-8.000,,,
20,CCC(C)(C)C1CCc2c(sc(NC(=O)C(C)Cl)c2C#N)C1,-7.900,,,
